id,hospital_id,department_id,name,qualification,specialization,experience_years,consultation_fee,bio,opd_timing,room_number,is_active
11,2,11,Dr. Pratik Savaj,MS MCh (Surgical Oncology),Thoracic GI & Breast Cancer Oncology,12,950,Renowned surgical oncologist leading multidisciplinary tumor boards and radical curative cancer surgeries,11:00 AM - 05:00 PM,Tower 1 Suite 402,1
12,2,12,Dr. Chirag Vora,MD DM (Gastroenterology),Therapeutic Endoscopy & Liver Disease,9,750,Gastroenterologist skilled in ERCP therapeutic upper GI endoscopy colonoscopy and fatty liver hepatitis protocols,09:00 AM - 03:00 PM,Tower 2 Suite 308,1
13,3,13,Dr. Vikram Shah,MS (Ortho) FICS,Robotic Total Knee Replacement & Joint Revision,25,1000,Founder & world-renowned joint surgeon acclaimed for zero-technique knee replacement and complex revision joint surgeries,09:00 AM - 02:00 PM,OPD Suite A1,1
14,3,14,Dr. Rajesh Tank,MD DM (Cardiology),Preventive & Interventional Cardiology,16,800,Cardiologist with specialized interest in transradial coronary angiography peripheral interventions and coronary stenting,10:00 AM - 05:00 PM,OPD Suite A4,1
15,3,15,Dr. Krunal Limbachiya,MD DNB (Pulmonology),Interventional Pulmonology & Sleep Medicine,11,700,Pulmonologist proficient in video bronchoscopy chronic asthma management COPD rehabilitation and sleep apnea titration,09:30 AM - 04:30 PM,OPD Suite B2,1
16,3,16,Dr. Alok Ranjan,MS (Surgery) FAIS,Advanced Laparoscopic & Bariatric Surgery,17,750,Chief laparoscopic surgeon providing hernia repairs bariatric procedures and acute abdominal surgical interventions,10:00 AM - 04:00 PM,OPD Suite B6,1
17,4,17,Dr. Saurabh Jindal,MD DM (Cardiology),Heart Failure Heart Rhythm & Angioplasty,13,750,Clinical cardiologist leading the Sunshine Heart Failure and acute chest pain triage wing with non-invasive 2D echo,09:30 AM - 05:00 PM,Ground Floor Clinic 3,1
18,4,18,Dr. Parag Dashora,MD DM (Gastroenterology),Digestive Disorders & Pancreaticobiliary Care,12,700,Gastroenterologist and hepatologist offering endoscopy polypectomy and metabolic liver wellness consults,10:00 AM - 04:30 PM,Ground Floor Clinic 5,1
19,4,19,Dr. Nidhi Agrawal,MD (Dermatology),Aesthetic Dermatology Trichology & Laser Care,8,600,Dermatologist specializing in eczema psoriasis acne therapy anti-aging treatments and advanced skin surgery,10:00 AM - 04:00 PM,1st Floor Clinic 12,1
20,4,20,Dr. Harshit Patel,MS DLO (ENT),Microscopic Ear Surgery & Functional Endoscopic Sinus Surgery,14,650,ENT surgeon experienced in hearing restoration tympanoplasty functional sinus surgeries and sleep apnea snoring relief,09:30 AM - 03:30 PM,1st Floor Clinic 15,1
21,5,21,Dr. Mukesh Jain,MD (Medicine),Cardiometabolic Care & Geriatric Medicine,22,600,Eminent internal medicine specialist dedicated to geriatric multi-morbidity difficult hypertension and diabetic control,09:00 AM - 01:00 PM,Consultation Room 1,1
22,5,22,Dr. Chirag Desai,MS MCh (Urology),Endourology Laser Kidney Stone Removal & Prostate,15,800,Chief urological surgeon skilled in RIRS mini-PCNL laser enucleation of prostate and male fertility assessments,10:00 AM - 04:00 PM,Consultation Room 5,1
23,5,23,Dr. Deepa Solanki,MD DGO,Maternal-Fetal Medicine & Infertility Consultation,14,650,Consultant gynaecologist offering compassionate antenatal counseling fertility workup and painless normal deliveries,09:00 AM - 02:00 PM,Consultation Room 3,1
24,5,24,Dr. Snehal Patel,MS (Ophthalmology),Phacoemulsification & Medical Retina,11,600,Eye surgeon focusing on premium multifocal IOL implants glaucoma screening and diabetic eye checks,09:30 AM - 03:00 PM,Eye Care Suite 2,1
